sample,sample_size,pct_fragments_clade,n_fragments_clade,n_fragments_taxon,n_minimisers,n_distinct_minimisers,rank,n_taxa_in_rank,ncbi_id,taxon,domain,kingdom,phylum,class,order,family,genus,species,db_n_minimisers_taxon,db_n_minimisers_clade,ratio_taxon,ratio_clade,pvalue,padj,significance
PD52657a,929077,1.7,15770,117,340718,127620,F,52,1300,Streptococcaceae,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,NA,NA,10738,8632391,11.884894766250698,0.014783853048361687,0,0,Significant
PD52657a,929077,1.68,15653,14556,339428,127368,G,67,1301,Streptococcus,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,1420046,7157238,0.08969286910424029,0.017795691578231715,0,0,Significant
PD52657a,929077,0.05,436,421,52302,14181,S,124,1303,Streptococcus oralis,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_oralis,251805,314078,0.056317388455352356,0.04515120447786856,0,0,Significant
PD52657a,929077,0.02,218,207,21176,8091,S,124,1328,Streptococcus anginosus,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_anginosus,66206,71728,0.1222094674198713,0.11280113763105064,0,0,Significant
PD52657a,929077,0,21,21,2147,705,S,124,76860,Streptococcus constellatus,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_constellatus,28736,30800,0.0245336859688196,0.02288961038961039,0,0,Significant
PD52657a,929077,0,1,1,539,261,S,124,1338,Streptococcus intermedius,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_intermedius,62909,73406,0.0041488499260837084,0.0035555676647685474,0,0,Significant
PD52657a,929077,0.02,181,181,4529,3840,S,124,1302,Streptococcus gordonii,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_gordonii,185881,185914,0.020658378209714817,0.020654711318136343,0,0,Significant
PD52657a,929077,0.01,48,48,2550,948,S,124,2598457,Streptococcus sp. KS 6,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_sp._KS_6,14694,14694,0.06451612903225806,0.06451612903225806,0,0,Significant
PD52657a,929077,0,11,11,742,180,S,124,2576376,Streptococcus sp. 1643,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_sp._1643,10934,10934,0.016462410828608012,0.016462410828608012,0,0,Significant
PD52657a,929077,0,3,3,253,130,S,124,2763068,Streptococcus sp. NSJ-72,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_sp._NSJ-72,5711,5711,0.022763088776046228,0.022763088776046228,0,0,Significant
PD52657a,929077,0,1,1,330,99,S,124,712624,Streptococcus sp. oral taxon 064,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_sp._oral_taxon_064,5999,5999,0.016502750458409734,0.016502750458409734,0,0,Significant
PD52657a,929077,0,1,1,303,84,S,124,2598453,Streptococcus sp. 116-D4,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_sp._116-D4,25584,25584,0.003283302063789869,0.003283302063789869,0,0,Significant
PD52657a,929077,0.01,50,50,3366,967,S,124,28037,Streptococcus mitis,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_mitis,134593,153381,0.00718462327164117,0.0063045618427314985,0,0,Significant
