sample,sample_size,pct_fragments_clade,n_fragments_clade,n_fragments_taxon,n_minimisers,n_distinct_minimisers,rank,n_taxa_in_rank,ncbi_id,taxon,domain,kingdom,phylum,class,order,family,genus,species,db_n_minimisers_taxon,db_n_minimisers_clade
PD52657a,929077,86.29,801728,801728,0,0,U,1,0,unclassified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD52657a,929077,13.71,127349,335,2924083,748863,R,1,1,root,NA,NA,NA,NA,NA,NA,NA,NA,478539,2800349531
PD52657a,929077,11.51,106979,4968,2481926,729896,D,3,2,Bacteria,Bacteria,NA,NA,NA,NA,NA,NA,NA,2536882,1119889888
PD52657a,929077,3.48,32336,1567,812940,243223,P,11,1239,Bacillota,Bacteria,NA,Bacillota,NA,NA,NA,NA,NA,167628,154758773
PD52657a,929077,2,18554,399,460345,168327,C,19,91061,Bacilli,Bacteria,NA,Bacillota,Bacilli,NA,NA,NA,NA,84325,110889372
PD52657a,929077,1.79,16665,462,413738,140765,O,36,186826,Lactobacillales,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,NA,NA,NA,72254,29753213
PD52657a,929077,1.7,15770,117,340718,127620,F,52,1300,Streptococcaceae,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,NA,NA,10738,8632391
PD52657a,929077,1.68,15653,14556,339428,127368,G,67,1301,Streptococcus,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,1420046,7157238
PD52657a,929077,0.05,436,421,52302,14181,S,124,1303,Streptococcus oralis,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_oralis,251805,314078
PD52657a,929077,0.02,218,207,21176,8091,S,124,1328,Streptococcus anginosus,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_anginosus,66206,71728
PD52657a,929077,0,21,21,2147,705,S,124,76860,Streptococcus constellatus,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_constellatus,28736,30800
PD52657a,929077,0,1,1,539,261,S,124,1338,Streptococcus intermedius,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_intermedius,62909,73406
PD52657a,929077,0.02,181,181,4529,3840,S,124,1302,Streptococcus gordonii,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_gordonii,185881,185914
PD52657a,929077,0.01,48,48,2550,948,S,124,2598457,Streptococcus sp. KS 6,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_sp._KS_6,14694,14694
PD52657a,929077,0,11,11,742,180,S,124,2576376,Streptococcus sp. 1643,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_sp._1643,10934,10934
PD52657a,929077,0,3,3,253,130,S,124,2763068,Streptococcus sp. NSJ-72,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_sp._NSJ-72,5711,5711
PD52657a,929077,0,1,1,330,99,S,124,712624,Streptococcus sp. oral taxon 064,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_sp._oral_taxon_064,5999,5999
PD52657a,929077,0,1,1,303,84,S,124,2598453,Streptococcus sp. 116-D4,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_sp._116-D4,25584,25584
PD52657a,929077,0.01,50,50,3366,967,S,124,28037,Streptococcus mitis,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_mitis,134593,153381
PD52657a,929077,0,24,24,1626,669,S,124,33040,Streptococcus milleri,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_milleri,13124,13124
PD52657a,929077,0,8,8,620,307,S,124,1311,Streptococcus agalactiae,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_agalactiae,65077,72531
PD52657a,929077,0,5,5,1323,396,S,124,1313,Streptococcus pneumoniae,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_pneumoniae,194032,200959
PD52657a,929077,0,5,5,1371,242,S,124,1314,Streptococcus pyogenes,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_pyogenes,210754,213749
PD52657a,929077,0,2,0,561,170,S,124,1336,Streptococcus equi,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_equi,55345,198969
PD52657a,929077,0,1,1,8,7,S,124,1334,Streptococcus dysgalactiae,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_dysgalactiae,47527,62122
PD52657a,929077,0,3,3,281,48,S,124,1318,Streptococcus parasanguinis,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_parasanguinis,15365,53718
PD52657a,929077,0,2,2,225,133,S,124,1305,Streptococcus sanguinis,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_sanguinis,224702,244449
PD52657a,929077,0,1,1,862,246,S,124,113107,Streptococcus australis,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_australis,47272,47272
PD52657a,929077,0.05,420,10,65025,11177,F,52,186828,Carnobacteriaceae,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,NA,NA,738,1426588
PD52657a,929077,0.04,410,67,64537,11082,G,67,117563,Granulicatella,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,NA,389,139271
PD52657a,929077,0.04,340,340,61758,10513,S,124,137732,Granulicatella elegans,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella_elegans,49572,49572
PD52657a,929077,0,3,3,909,280,S,124,46124,Granulicatella adiacens,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella_adiacens,89283,89310
PD52657a,929077,0,12,1,992,378,F,52,33958,Lactobacillaceae,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,NA,NA,152395,14352926
PD52657a,929077,0,9,1,278,166,G,67,1578,Lactobacillus,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA,214458,2538385
PD52657a,929077,0,6,6,89,72,S,124,47770,Lactobacillus crispatus,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_crispatus,190490,198128
PD52657a,929077,0,2,2,58,43,S,124,147802,Lactobacillus iners,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_iners,73170,73170
PD52657a,929077,0,1,0,51,24,G,67,1243,Leuconostoc,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,NA,278617,866778
PD52657a,929077,0,1,1,13,13,S,124,1252,Leuconostoc carnosum,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc_carnosum,49823,53767
PD52657a,929077,0,1,0,194,50,G,67,2767887,Ligilactobacillus,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,NA,13207,778014
PD52657a,929077,0,1,1,184,45,S,124,1624,Ligilactobacillus salivarius,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus_salivarius,228079,236593
PD52657a,929077,0,1,0,94,52,F,52,186827,Aerococcaceae,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,NA,NA,81,666219
PD52657a,929077,0,1,0,53,35,G,67,46123,Abiotrophia,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,NA,0,63566
PD52657a,929077,0,1,1,53,35,S,124,46125,Abiotrophia defectiva,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia_defectiva,63566,63566
PD52657a,929077,0.16,1490,36,40632,25734,O,36,1385,Bacillales,Bacteria,NA,Bacillota,Bacilli,Bacillales,NA,NA,NA,175250,81051834
PD52657a,929077,0.16,1443,250,37220,24384,G,67,1378,Gemella,Bacteria,NA,Bacillota,Bacilli,Bacillales,NA,Gemella,NA,5004,303032
PD52657a,929077,0.12,1158,1158,30417,19723,S,124,29391,Gemella morbillorum,Bacteria,NA,Bacillota,Bacilli,Bacillales,NA,Gemella,Gemella_morbillorum,60763,60763
PD52657a,929077,0,35,35,3354,2774,S,124,1379,Gemella haemolysans,Bacteria,NA,Bacillota,Bacilli,Bacillales,NA,Gemella,Gemella_haemolysans,104903,104903
PD52657a,929077,0,11,0,710,385,F,52,90964,Staphylococcaceae,Bacteria,NA,Bacillota,Bacilli,Bacillales,Staphylococcaceae,NA,NA,37089,7916442
PD52657a,929077,0,11,1,605,348,G,67,1279,Staphylococcus,Bacteria,NA,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,NA,866334,5953342
PD52657a,929077,0,7,7,133,125,S,124,1282,Staphylococcus epidermidis,Bacteria,NA,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_epidermidis,255776,256867
PD52657a,929077,0,1,1,32,32,S,124,33028,Staphylococcus saccharolyticus,Bacteria,NA,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_saccharolyticus,93289,93289
PD52657a,929077,0,1,1,22,12,S,124,29388,Staphylococcus capitis,Bacteria,NA,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_capitis,114913,127775
PD52657a,929077,0,1,1,40,27,S,124,1290,Staphylococcus hominis,Bacteria,NA,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_hominis,139659,149227
PD52657a,929077,1.14,10604,3,236237,40969,C,19,1737404,Tissierellia,Bacteria,NA,Bacillota,Tissierellia,NA,NA,NA,NA,2816,1552267
PD52657a,929077,1.14,10595,12,235575,40858,O,36,1737405,Tissierellales,Bacteria,NA,Bacillota,Tissierellia,Tissierellales,NA,NA,NA,293,1361061
PD52657a,929077,1.14,10583,44,235107,40775,F,52,1570339,Peptoniphilaceae,Bacteria,NA,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,NA,NA,3728,856719
PD52657a,929077,1.13,10537,0,234094,40462,G,67,543311,Parvimonas,Bacteria,NA,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Parvimonas,NA,0,108164
PD52657a,929077,1.13,10537,10537,234094,40462,S,124,33033,Parvimonas micra,Bacteria,NA,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Parvimonas,Parvimonas_micra,108164,108164
PD52657a,929077,0,1,1,117,46,G,67,165779,Anaerococcus,Bacteria,NA,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,NA,27441,177210
PD52657a,929077,0,1,0,111,56,G,67,1161127,Murdochiella,Bacteria,NA,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Murdochiella,NA,0,51374
PD52657a,929077,0,1,1,111,56,S,124,1852373,Murdochiella vaginalis,Bacteria,NA,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Murdochiella,Murdochiella_vaginalis,51374,51374
PD52657a,929077,0,6,0,537,123,G,67,1582879,Ezakiella,Bacteria,NA,Bacillota,Tissierellia,NA,NA,Ezakiella,NA,322,101398
PD52657a,929077,0,6,6,494,112,S,124,46507,Ezakiella coagulans,Bacteria,NA,Bacillota,Tissierellia,NA,NA,Ezakiella,Ezakiella_coagulans,52081,52081
PD52657a,929077,0.13,1223,14,64314,18137,C,19,909932,Negativicutes,Bacteria,NA,Bacillota,Negativicutes,NA,NA,NA,NA,1203,3033026
PD52657a,929077,0.08,768,0,55254,10822,O,36,909929,Selenomonadales,Bacteria,NA,Bacillota,Negativicutes,Selenomonadales,NA,NA,NA,80,1553260
PD52657a,929077,0.08,768,0,55189,10810,F,52,1843491,Selenomonadaceae,Bacteria,NA,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,NA,NA,61,904247
PD52657a,929077,0.08,768,72,55060,10784,G,67,970,Selenomonas,Bacteria,NA,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,NA,15113,634692
PD52657a,929077,0.07,695,657,52016,10098,S,124,69823,Selenomonas sputigena,Bacteria,NA,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas_sputigena,139435,177885
PD52657a,929077,0.05,441,0,8791,7276,O,36,1843489,Veillonellales,Bacteria,NA,Bacillota,Negativicutes,Veillonellales,NA,NA,NA,0,1060505
PD52657a,929077,0.05,441,1,8791,7276,F,52,31977,Veillonellaceae,Bacteria,NA,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,NA,NA,218,1060505
PD52657a,929077,0.05,440,2,8625,7164,G,67,39948,Dialister,Bacteria,NA,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Dialister,NA,60965,193736
PD52657a,929077,0.05,438,438,8590,7148,S,124,39950,Dialister pneumosintes,Bacteria,NA,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister_pneumosintes,38956,38956
PD52657a,929077,0.04,386,2,23683,11745,C,19,186801,Clostridia,Bacteria,NA,Bacillota,Clostridia,NA,NA,NA,NA,12676,36735323
PD52657a,929077,0.04,383,15,23299,11634,O,36,186802,Eubacteriales,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,NA,NA,NA,133037,32993672
PD52657a,929077,0.03,294,0,10500,7265,F,52,186804,Peptostreptococcaceae,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Peptostreptococcaceae,NA,NA,5055,1637944
PD52657a,929077,0.03,294,0,9635,6988,G,67,44259,Filifactor,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Peptostreptococcaceae,Filifactor,NA,0,53883
PD52657a,929077,0.03,294,0,9635,6988,S,124,143361,Filifactor alocis,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Peptostreptococcaceae,Filifactor,Filifactor_alocis,0,53883
PD52657a,929077,0.01,51,4,6248,2238,F,52,186803,Lachnospiraceae,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA,187674,8029561
PD52657a,929077,0,33,0,3346,1460,G,67,1164882,Lachnoanaerobaculum,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoanaerobaculum,NA,0,85054
PD52657a,929077,0,33,33,3346,1460,S,124,617123,Lachnoanaerobaculum umeaense,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoanaerobaculum,Lachnoanaerobaculum_umeaense,85054,85054
PD52657a,929077,0,13,13,423,59,G,67,841,Roseburia,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia,NA,36244,414219
PD52657a,929077,0,1,0,143,40,G,67,2316020,Mediterraneibacter,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,NA,1430,309356
PD52657a,929077,0,1,1,83,18,S,124,33038,[Ruminococcus] gnavus,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus]_gnavus,142392,142511
PD52657a,929077,0,17,0,2147,783,F,52,543314,Eubacteriales Family XIII. Incertae Sedis,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Eubacteriales_Family_XIII._Incertae_Sedis,NA,NA,107,580141
PD52657a,929077,0,17,1,2127,769,G,67,86331,Mogibacterium,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Eubacteriales_Family_XIII._Incertae_Sedis,Mogibacterium,NA,3552,136715
PD52657a,929077,0,15,15,1406,475,S,124,114527,Mogibacterium diversum,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Eubacteriales_Family_XIII._Incertae_Sedis,Mogibacterium,Mogibacterium_diversum,80124,80124
PD52657a,929077,0,1,1,672,246,S,124,86332,Mogibacterium pumilum,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Eubacteriales_Family_XIII._Incertae_Sedis,Mogibacterium,Mogibacterium_pumilum,53039,53039
PD52657a,929077,0,2,0,23,12,F,52,539000,Clostridiales Family XVII. Incertae Sedis,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Clostridiales_Family_XVII._Incertae_Sedis,NA,NA,0,246878
PD52657a,929077,0,2,0,23,12,G,67,73918,Thermaerobacter,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Clostridiales_Family_XVII._Incertae_Sedis,Thermaerobacter,NA,6603,242160
PD52657a,929077,0,2,2,23,12,S,124,2293838,Thermaerobacter sp. PB12/4term,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Clostridiales_Family_XVII._Incertae_Sedis,Thermaerobacter,Thermaerobacter_sp._PB12/4term,77405,77405
PD52657a,929077,0,2,2,231,48,G,67,1686313,Fenollaria,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,NA,Fenollaria,NA,3636,91696
PD52657a,929077,0,1,1,609,262,F,52,216572,Oscillospiraceae,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,NA,NA,30763,4518007
PD52657a,929077,0,1,0,127,51,O,36,68295,Thermoanaerobacterales,Bacteria,NA,Bacillota,Clostridia,Thermoanaerobacterales,NA,NA,NA,2347,2573809
PD52657a,929077,0,1,0,84,34,F,52,543371,Thermoanaerobacterales Family III. Incertae Sedis,Bacteria,NA,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales_Family_III._Incertae_Sedis,NA,NA,58,1089933
PD52657a,929077,0,1,0,37,16,G,67,28895,Thermoanaerobacterium,Bacteria,NA,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales_Family_III._Incertae_Sedis,Thermoanaerobacterium,NA,94434,381827
PD52657a,929077,0,1,1,18,12,S,124,1517,Thermoanaerobacterium thermosaccharolyticum,Bacteria,NA,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales_Family_III._Incertae_Sedis,Thermoanaerobacterium,Thermoanaerobacterium_thermosaccharolyticum,83927,132841
PD52657a,929077,0,2,0,603,247,C,19,526524,Erysipelotrichia,Bacteria,NA,Bacillota,Erysipelotrichia,NA,NA,NA,NA,0,2151294
PD52657a,929077,0,2,0,603,247,O,36,526525,Erysipelotrichales,Bacteria,NA,Bacillota,Erysipelotrichia,Erysipelotrichales,NA,NA,NA,1403,2151294
